CURRENT_ENERGY_RATING,below_c,LODGEMENT_DATE,PROPERTY_TYPE,BUILT_FORM,AGE_BAND_CLEAN,TOTAL_FLOOR_AREA,NUMBER_HABITABLE_ROOMS,MAIN_FUEL_CAT,GLAZED_AREA,WALL_CATEGORY,ROOF_CATEGORY,WINDOW_CATEGORY,HEATING_CATEGORY,LOW_ENERGY_LIGHTING,MECHANICAL_VENTILATION,REPORT_TYPE,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,FLOOR_HEIGHT
D,1,2022-01-02,House,Semi-Detached,1930-1949,83.0,6.0,Mains gas,Normal,No insulation,100-199 mm,Partial/mostly double glazing,Gas boiler,100.0,natural,100,0.0,N,2.45
C,0,2022-01-04,Bungalow,Mid-Terrace,1950-1966,46.0,2.0,Mains gas,Normal,Insulated,300+ mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.75
D,1,2022-01-04,Flat,End-Terrace,1900-1929,62.0,4.0,Mains gas,Normal,No insulation,No exposed roof / premises above,Partial/mostly double glazing,Gas boiler,100.0,natural,100,0.0,N,2.3
C,0,2022-01-04,House,Semi-Detached,1950-1966,139.0,5.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.35
D,1,2022-01-05,House,Detached,1991-1995,104.0,7.0,Mains gas,Normal,Insulated,100-199 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.27
C,0,2022-01-05,Flat,Detached,1930-1949,53.0,3.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,43.0,natural,100,0.0,N,2.47
C,0,2022-01-05,Flat,Detached,1983-1990,58.0,3.0,Mains gas,Normal,Insulated,100-199 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.32
D,1,2022-01-05,House,Mid-Terrace,1900-1929,67.0,4.0,Mains gas,Normal,No insulation,200-299 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.43
C,0,2022-01-05,House,Mid-Terrace,1930-1949,53.0,3.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,50.0,natural,100,0.0,N,2.46
C,0,2022-01-05,House,Mid-Terrace,1983-1990,77.0,5.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,20.0,natural,100,0.0,N,2.35
C,0,2022-01-05,Flat,Detached,1967-1975,46.0,2.0,Mains gas,Normal,Insulated,300+ mm,Full double glazing,Gas boiler,83.0,natural,100,0.0,N,2.4
C,0,2022-01-05,Flat,Semi-Detached,1930-1949,45.0,2.0,Mains gas,Normal,No insulation,No exposed roof / premises above,Full double glazing,Gas boiler,50.0,natural,100,0.0,N,2.47
C,0,2022-01-05,Flat,Detached,1930-1949,53.0,3.0,Mains gas,Normal,Insulated,100-199 mm,Full double glazing,Gas boiler,29.0,natural,100,0.0,N,2.5
B,0,2022-01-06,Flat,Mid-Terrace,2012 onwards,42.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,Semi-Detached,2012 onwards,72.0,,Mains gas,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Gas boiler,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,End-Terrace,2012 onwards,35.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,Semi-Detached,2012 onwards,72.0,,Mains gas,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Gas boiler,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,Mid-Terrace,2012 onwards,57.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,Semi-Detached,2012 onwards,72.0,,Mains gas,Unknown,Modern/quantified,Modern/quantified,High-performance glazing,Gas boiler,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,End-Terrace,2012 onwards,67.0,,Electricity,Unknown,Modern/quantified,Modern/quantified,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,House,Semi-Detached,2012 onwards,58.0,,Mains gas,Unknown,Modern/quantified,Modern/quantified,High-performance glazing,Gas boiler,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,Mid-Terrace,2012 onwards,43.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,End-Terrace,2012 onwards,35.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
D,1,2022-01-06,House,Semi-Detached,1930-1949,116.0,6.0,Mains gas,Normal,No insulation,100-199 mm,Full double glazing,Gas boiler,75.0,natural,100,0.0,N,2.58
B,0,2022-01-06,Flat,Mid-Terrace,2012 onwards,67.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,Mid-Terrace,2012 onwards,57.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
E,1,2022-01-06,Maisonette,Semi-Detached,before 1900,40.0,2.0,Electricity,Normal,No insulation,No exposed roof / premises above,Full double glazing,Electric boiler,100.0,natural,100,0.0,N,2.4
B,0,2022-01-06,Flat,Mid-Terrace,2012 onwards,57.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,Semi-Detached,2012 onwards,73.0,,Mains gas,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Gas boiler,100.0,Unknown,101,,Unknown,2.4
D,1,2022-01-06,House,Mid-Terrace,before 1900,118.0,6.0,Mains gas,Normal,No insulation,100-199 mm,Partial/mostly double glazing,Gas boiler,38.0,natural,100,0.0,N,2.68
B,0,2022-01-06,Flat,Semi-Detached,2012 onwards,73.0,,Mains gas,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Gas boiler,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,Semi-Detached,2012 onwards,72.0,,Mains gas,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Gas boiler,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,Mid-Terrace,2012 onwards,43.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,House,Semi-Detached,2012 onwards,58.0,,Mains gas,Unknown,Modern/quantified,Modern/quantified,High-performance glazing,Gas boiler,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,Mid-Terrace,2012 onwards,57.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
C,0,2022-01-06,House,Semi-Detached,1950-1966,99.0,5.0,Mains gas,More Than Typical,Insulated,200-299 mm,Full double glazing,Gas boiler,81.0,natural,100,0.0,N,2.42
B,0,2022-01-06,Flat,End-Terrace,2012 onwards,62.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,End-Terrace,2012 onwards,59.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
B,0,2022-01-06,Flat,Mid-Terrace,2012 onwards,57.0,,Electricity,Unknown,Modern/quantified,No exposed roof / premises above,High-performance glazing,Electric room/resistance heating,100.0,Unknown,101,,Unknown,2.4
