Recommendation,Count
"Solar photovoltaic panels, 2.5 kWp",3540
Solar water heating,3352
Internal or external wall insulation,2436
Floor insulation (solid floor),2106
Floor insulation (suspended floor),1586
Low energy lighting for all fixed outlets,1472
Cavity wall insulation,838
Replace boiler with new condensing boiler,822
Increase loft insulation to 270 mm,655
Flat roof or sloping ceiling insulation,644
Replace single glazed windows with low-E double glazed windows,590
Heating controls (room thermostat),304
